label,title
genuine,Joseph Schooling beats Michael Phelps to claim Singapore's first Olympic gold CNN
genuine,Bill Clinton: Email controversy is the 'biggest load of bull I've ever heard'
genuine,"Hacker releases cell phone numbers, personal emails of House Democrats"
genuine,Lionel Messi announces Argentina return
genuine,Fighting the male biological clock by banking sperm
genuine,The face of the Olympics will never look the same
genuine,"Trump: If Clinton wins Pennsylvania, she cheated"
genuine,Texas baby found dead after nine hours in hot car
genuine,Malawi is moving 500 elephants across the country
genuine,Thomas Gibson fired from 'Criminal Minds' after on-set altercation
genuine,Watch Donald Trump evolve on ISIS
genuine,Watch a timelapse of the Perseid meteor shower
genuine,Poll: Clinton leading Trump in several critical battleground states
genuine,Brendan Dassey's conviction overturned in 'Making a Murderer' case
genuine,Live from Yankee Stadium before A-Rod's last game
genuine,Live: The story behind an Olympic proposal
genuine,US women's soccer team dethroned by Sweden
genuine,There are no winners in Aleppo'
genuine,Senate Republican Leader Mitch McConnell warned about his party's chances of hanging onto its majority
genuine,Live: Flooding in southeast Louisiana
genuine,Rio athletes deal with water full of sewage and trash
genuine,Burkinis banned on Cannes beaches amid terror concerns
genuine,We're with Olympic rowers Eric Murray and Hamish Bond
genuine,The brothers and sisters left behind
genuine,Great Big Story
genuine,Tim Kaine on how to make housing fair in America
genuine,"Hillary Clinton's tax return shows $10.6 million in income, 31% rate -- and puts pressure on Donald Trump"
genuine,"F-22 Raptor grounded by 20,000 bees"
genuine,Ancient sharks roam icy waters
genuine,Rio's infamous green diving pool closed
genuine,Khan asks McCain to withdraw Trump support
genuine,Top Clinton State Department aide helped Clinton Foundation
genuine,Simone Biles and Simone Manuel make history at Rio Olympics
genuine,Rogue One' trailer brings back Darth Vader for new 'Star Wars' film
genuine,Italian musician: Trump 'a blonde Berlusconi'
genuine,Trump tries to walk back Obama-ISIS comments
genuine,Who holds the most incredible Olympic record?
genuine,World Elephant Day
genuine,JetBlue turbulence put 24 people in the hospital
genuine,5 things to know about swimmer Simone Manuel
genuine,Capturing the Olympic moments that TV doesn't
genuine,Watch a rocket test in super HD with NASA's new camera
genuine,Daily Beast removes Olympics Grindr article after backlash
genuine,Olympic pool turns green
genuine,This is what we're spending money on in airports
genuine,Police rescue autistic boy's birthday party
genuine,Chinese swimmer tests positive for banned substance
genuine,Cockroach milk: The drink you didn't know you've been missing
genuine,Rio 2016: Social media reacts to the day's action
genuine,Secret Service stops man at Clinton rally
genuine,Quiz: Which Olympic sport should you play?
genuine,Several blasts reported in Thailand
genuine,New York Daily News calls for Donald Trump to end his presidential campaign
genuine,Greenland shark named longest-living vertebrate
genuine,Several blasts hit two cities in Thailand within hours
genuine,British police investigating claims female tennis player deliberately poisoned at Wimbledon
genuine,Gupta: DEA's missed opportunity on medical marijuana
genuine,Michael Phelps makes history to win 22nd gold
genuine,"Bergen: No, Obama was not the 'founder' of ISIS"
genuine,400-year-old sharks and other long-lived animals
genuine,Perseid meteor shower to illuminate summer skies
genuine,Child falls off Pennsylvania roller coaster
genuine,"Fiji just won its first Olympic medal ever, and it's gold"
genuine,Simone Biles wins all-around gymnastic gold
genuine,This is the letter Aleppo's last remaining doctors wrote to Pr...
genuine,What if Michael Phelps were a woman?
genuine,Was Trump's 2nd Amendment comment incitement?
genuine,Great Big Story
genuine,Clinton makes Olympics joke at Trump's expense
genuine,Brain training helps paraplegics move legs again
genuine,Rare 4th century mosaic unearthed in Cyprus
genuine,This is who gets free tuition under Hillary Clinton's college plan
genuine,Drones flying contraband into prisons
genuine,"Donald Trump: I meant that Obama founded ISIS, literally"
genuine,Great Big Story
genuine,Olympic gymnasts' gem-studded uniforms come with dazzling price tag
genuine,Uber and its never-ending stream of lawsuits
genuine,Simone Biles and Zac Efron are #crushgoals
genuine,We're with environmentalist Alexandra Cousteau
genuine,The oldest and youngest US Olympic athletes
genuine,We're live with three-time olympian Janet Evans.
genuine,"Grandma wins $30,000 in lottery, wants new cell phone"
genuine,Reagan daughter blasts Trump for inciting violence
genuine,Deconstructing the US Second Amendment
genuine,Olympics: Record number of LGBT athletes at Rio 2016
genuine,Donald Trump calls Obama 'founder of ISIS'
genuine,Where does Hillary Clinton stand on guns?
genuine,Donald Trump calls Obama 'founder of ISIS'
genuine,Police are investigating whether a tennis player was deliberately poisoned
genuine,Opinion: US voters can learn from Philippines' election of Rodrigo Duterte
genuine,"""The new """"Star Trek"""" series will feature a female lead and a gay character"""
genuine,Snapchat is under fire for a filter again
genuine,"Those sparkly gymnastics uniforms cost $700-$1,200 each"
genuine,Turkey issues extradition ultimatum to US
genuine,Japan's newest public holiday is finally here
genuine,A second Olympic pool has turned green
genuine,"Canna-butter, astro eggs and other costly superfood trends"
genuine,"Rebels dance in Aleppo, but can victory hold?"
genuine,Facebook will now show you ads even if you use ad blockers
genuine,"Olympic scandals, then and now"
genuine,10 things Brazil does better than anywhere else
genuine,These concrete buildings are now UNESCO World Heritage Sites
genuine,Police rescue autistic boy's birthday party
genuine,Cavemen were much smarter than we thought
genuine,NYPD arrests man who scaled Trump Tower with suction cups
genuine,First woman to break Tokyo's 'steel ceiling' wants to make it easier for others
genuine,Watch a rocket test in super HD with NASA's new camera
genuine,Wisconsin poll: Clinton up double-digits over Trump
genuine,Horror injury ends weightlifter's Rio dream
genuine,Surgeon accused of removing kidney from wrong patient
genuine,NYPD holds news conference on Trump Tower climber
genuine,Gasping man says he would take Trump 'to the shed' but still vote for him
genuine,A person is climbing Trump Tower in New York City.
genuine,Man climbs Trump Tower in NYC
genuine,Secret Service stops man at Clinton rally
genuine,Clinton slams Trump's comment
genuine,Secret Service spoke to Trump's camp about 2nd Amendment comment
genuine,Great Big Story
genuine,"1,000 evacuated as Portugal wildfire rages on"
genuine,Perseid meteor shower to illuminate summer skies
genuine,Report: RNC losing staffers over Trump
genuine,Water park witness: I saw him slide down 'and then I saw the blood'
genuine,We are above Kansas City's Schlitterbahn water park
genuine,The humble roots of Brazil's golden girl
genuine,Researchers are trying to perfect the selfie
genuine,Police rescue autistic boy's birthday party
genuine,Emirates crash survivor wins $1M lottery 6 days later
genuine,When will US catch up with world on Trump?
genuine,DOJ reveals findings in critical Baltimore report
genuine,Philippines President Duterte insults US ambassador
genuine,Judge's decision brings inmate to tears
genuine,Algae blamed for green Olympic diving pool
genuine,Dan Rather calls Donald Trump's 'Second Amendment people' comments a 'new low'
genuine,"Baltimore police have racial bias, Justice Department reports"
genuine,How they make Olympic medals
genuine,A-Rod's not alone: Players paid millions not to play
genuine,Why was this pool so green?
genuine,New York Daily News calls for Donald Trump to end his presidential campaign
genuine,Millions of Americans may be drinking unsafe water
genuine,Team USA's star women's gymnastics squads
genuine,It could take 228 years for black families to accumulate the same amount of wealth as whites
genuine,This guy is enjoying a fabulous honeymoon...without his wife
genuine,At least 11 babies died after a fire broke out in a maternity ward
genuine,The hack that makes ATMs spew cash
genuine,Travel the London tube with these high-tech nails
genuine,11 babies die after fire breaks out in maternity ward
genuine,Kuwait is hiking gas prices by as much as 83%
genuine,King Arthur's birthplace?
genuine,This solar powered street cart can charge 80 phones at once
genuine,Ancient petroglyphs unearthed on Hawaiian coast
genuine,Woman fatally shot during police academy drill
genuine,Rugby player accepts on-field Olympic marriage proposal
genuine,Olympic diving well turns green
genuine,"Trump calls on '2nd Amendment people,' internet reacts"
genuine,One discovery could take on three deadly parasites
genuine,Michael Phelps and Katie Ledecky shine on golden night for US
genuine,Alaska has record warmth this year
genuine,Petroglyphs discovered on Hawaii beach
genuine,Many people are saying -- that Trump drives conspiracies and gossip
genuine,Haboob hovers over Phoenix
genuine,Dog waits outside hotel until flight attendant adopts him
genuine,Man on 'neighborhood watch' kills 20-year-old outside home
genuine,Serena Williams stunned by Elina Svitolina in Rio
genuine,Olympic divers splash into green pool
genuine,"Quinnipiac polls: Clinton tops Trump in Ohio, Pennsylvania"
genuine,Baby rhino saved by CPR
genuine,The most common injury at the Olympics
genuine,Gymnastics: Team USA and Simone Biles take team gold
genuine,Dancing robots in China earn world record
genuine,Great Big Story
genuine,Trump: 'Second Amendment people' could deal with Clinton
genuine,Stray dog wins flight attendants heart half a world away
genuine,Leonardo DiCaprio's Olympic doppelganger
genuine,Trump on Clinton picking SCOTUS judges
genuine,Donald Trump is hearing things
genuine,Great Big Story
genuine,Airbnb hosts cash in big on the Olympics
genuine,Man goes on honeymoon without wife
